松山機場	Sungshan Airport	SS	46696		250400	1213300
桃園機場	Chiang Kai-Shek International Airport	CK	46686	250450	1211334
高雄機場	Kaohsiung International Airport	KH	46740	223453	1212031
豐年機場	Fengnin Airport	FN	46738	224524	1210536
尚義機場	Shang Yi Airport	BS	46736	242555	1182124
綠島機場	Green Island Airport	GI	46786	224028	1212730
蘭嶼機場	Lanyu Airport	LY	46787	220146	1213138
北竿機場	Beigan Airport	MT	46788	261336	1195957
南竿機場	Nangan Airport	FG	46789	260938	1195726
恆春機場	KW	46790	202227	1204349
